2023-11-04 12:25:50,197 INFO [test_flights_search] | test_flights_search.py(test_flights_search:43) | - flying from SYD
2023-11-04 12:25:55,402 INFO [test_flights_search] | test_flights_search.py(test_flights_search:49) | - destination to HGH
2023-11-04 12:25:55,582 INFO [test_flights_search] | test_flights_search.py(test_flights_search:53) | - depart date is  09-12-2023
2023-11-04 12:25:56,002 INFO [test_flights_search] | test_flights_search.py(test_flights_search:65) | - number of adults are  1
2023-11-04 12:25:56,222 INFO [test_flights_search] | test_flights_search.py(test_flights_search:71) | - number of children are  1
2023-11-04 12:25:56,422 INFO [test_flights_search] | test_flights_search.py(test_flights_search:77) | - number of infants are  1
2023-11-04 12:26:54,144 INFO [test_flights_search] | test_flights_search.py(test_flights_search:85) | - expected_result: No Results Found
2023-11-04 12:26:59,268 INFO [test_flights_search] | test_flights_search.py(test_flights_search:27) | - Entering FLIGHTS page
2023-11-04 12:26:59,268 INFO [test_flights_search] | test_flights_search.py(test_flights_search:27) | - Entering FLIGHTS page
2023-11-04 12:26:59,374 INFO [test_flights_search] | test_flights_search.py(test_flights_search:30) | - flights type selected is: Economy
2023-11-04 12:26:59,374 INFO [test_flights_search] | test_flights_search.py(test_flights_search:30) | - flights type selected is: Economy
2023-11-04 12:26:59,801 INFO [test_flights_search] | test_flights_search.py(test_flights_search:37) | - round trip is selected
2023-11-04 12:26:59,801 INFO [test_flights_search] | test_flights_search.py(test_flights_search:37) | - round trip is selected
2023-11-04 12:27:05,025 INFO [test_flights_search] | test_flights_search.py(test_flights_search:43) | - flying from DEL
2023-11-04 12:27:05,025 INFO [test_flights_search] | test_flights_search.py(test_flights_search:43) | - flying from DEL
2023-11-04 12:27:10,208 INFO [test_flights_search] | test_flights_search.py(test_flights_search:49) | - destination to NYC
2023-11-04 12:27:10,208 INFO [test_flights_search] | test_flights_search.py(test_flights_search:49) | - destination to NYC
2023-11-04 12:27:10,381 INFO [test_flights_search] | test_flights_search.py(test_flights_search:53) | - depart date is  09-12-2023
2023-11-04 12:27:10,381 INFO [test_flights_search] | test_flights_search.py(test_flights_search:53) | - depart date is  09-12-2023
2023-11-04 12:27:10,525 INFO [test_flights_search] | test_flights_search.py(test_flights_search:57) | - depart date is  09-12-2023
2023-11-04 12:27:10,525 INFO [test_flights_search] | test_flights_search.py(test_flights_search:57) | - depart date is  09-12-2023
2023-11-04 12:29:58,281 INFO [test_flights_search] | test_flights_search.py(test_flights_search:27) | - Entering FLIGHTS page
2023-11-04 12:29:58,454 INFO [test_flights_search] | test_flights_search.py(test_flights_search:30) | - flights type selected is: Economy
2023-11-04 12:29:58,878 INFO [test_flights_search] | test_flights_search.py(test_flights_search:34) | - one way is selected
2023-11-04 12:30:04,125 INFO [test_flights_search] | test_flights_search.py(test_flights_search:43) | - flying from SYD
2023-11-04 12:30:09,313 INFO [test_flights_search] | test_flights_search.py(test_flights_search:49) | - destination to HGH
2023-11-04 12:30:09,501 INFO [test_flights_search] | test_flights_search.py(test_flights_search:53) | - depart date is  09-12-2023
2023-11-04 12:30:10,869 INFO [test_flights_search] | test_flights_search.py(test_flights_search:27) | - Entering FLIGHTS page
2023-11-04 12:30:10,869 INFO [test_flights_search] | test_flights_search.py(test_flights_search:27) | - Entering FLIGHTS page
2023-11-04 12:30:11,517 INFO [test_flights_search] | test_flights_search.py(test_flights_search:30) | - flights type selected is: Economy
2023-11-04 12:30:11,517 INFO [test_flights_search] | test_flights_search.py(test_flights_search:30) | - flights type selected is: Economy
2023-11-04 12:30:11,560 INFO [test_flights_search] | test_flights_search.py(test_flights_search:37) | - round trip is selected
2023-11-04 12:30:11,560 INFO [test_flights_search] | test_flights_search.py(test_flights_search:37) | - round trip is selected
2023-11-04 12:30:16,763 INFO [test_flights_search] | test_flights_search.py(test_flights_search:43) | - flying from DEL
2023-11-04 12:30:16,763 INFO [test_flights_search] | test_flights_search.py(test_flights_search:43) | - flying from DEL
2023-11-04 12:30:21,966 INFO [test_flights_search] | test_flights_search.py(test_flights_search:49) | - destination to NYC
2023-11-04 12:30:21,966 INFO [test_flights_search] | test_flights_search.py(test_flights_search:49) | - destination to NYC
2023-11-04 12:30:22,139 INFO [test_flights_search] | test_flights_search.py(test_flights_search:53) | - depart date is  09-12-2023
2023-11-04 12:30:22,139 INFO [test_flights_search] | test_flights_search.py(test_flights_search:53) | - depart date is  09-12-2023
2023-11-04 12:30:22,284 INFO [test_flights_search] | test_flights_search.py(test_flights_search:57) | - depart date is  09-12-2023
2023-11-04 12:30:22,284 INFO [test_flights_search] | test_flights_search.py(test_flights_search:57) | - depart date is  09-12-2023
2023-11-04 12:32:49,581 INFO [test_flights_search] | test_flights_search.py(test_flights_search:27) | - Entering FLIGHTS page
2023-11-04 12:32:50,250 INFO [test_flights_search] | test_flights_search.py(test_flights_search:30) | - flights type selected is: Economy
2023-11-04 12:32:50,294 INFO [test_flights_search] | test_flights_search.py(test_flights_search:34) | - one way is selected
2023-11-04 12:32:55,566 INFO [test_flights_search] | test_flights_search.py(test_flights_search:43) | - flying from SYD
2023-11-04 12:33:00,785 INFO [test_flights_search] | test_flights_search.py(test_flights_search:49) | - destination to HGH
2023-11-04 12:33:00,960 INFO [test_flights_search] | test_flights_search.py(test_flights_search:53) | - depart date is  09-12-2023
2023-11-04 12:33:01,304 INFO [test_flights_search] | test_flights_search.py(test_flights_search:65) | - number of adults are  1
2023-11-04 12:33:01,520 INFO [test_flights_search] | test_flights_search.py(test_flights_search:71) | - number of children are  1
2023-11-04 12:33:01,742 INFO [test_flights_search] | test_flights_search.py(test_flights_search:77) | - number of infants are  1
2023-11-04 12:34:00,942 INFO [test_flights_search] | test_flights_search.py(test_flights_search:85) | - expected_result: No Results Found
2023-11-04 12:34:05,838 INFO [test_flights_search] | test_flights_search.py(test_flights_search:27) | - Entering FLIGHTS page
2023-11-04 12:34:05,838 INFO [test_flights_search] | test_flights_search.py(test_flights_search:27) | - Entering FLIGHTS page
2023-11-04 12:34:06,438 INFO [test_flights_search] | test_flights_search.py(test_flights_search:30) | - flights type selected is: Economy
2023-11-04 12:34:06,438 INFO [test_flights_search] | test_flights_search.py(test_flights_search:30) | - flights type selected is: Economy
2023-11-04 12:34:06,481 INFO [test_flights_search] | test_flights_search.py(test_flights_search:37) | - round trip is selected
2023-11-04 12:34:06,481 INFO [test_flights_search] | test_flights_search.py(test_flights_search:37) | - round trip is selected
2023-11-04 12:34:11,708 INFO [test_flights_search] | test_flights_search.py(test_flights_search:43) | - flying from DEL
2023-11-04 12:34:11,708 INFO [test_flights_search] | test_flights_search.py(test_flights_search:43) | - flying from DEL
2023-11-04 12:34:16,903 INFO [test_flights_search] | test_flights_search.py(test_flights_search:49) | - destination to NYC
2023-11-04 12:34:16,903 INFO [test_flights_search] | test_flights_search.py(test_flights_search:49) | - destination to NYC
2023-11-04 12:34:17,068 INFO [test_flights_search] | test_flights_search.py(test_flights_search:53) | - depart date is  09-12-2023
